,Unnamed: 0,Unnamed: 0.1,RTT,Timestamp,New-RTT,Old-RTT
143,143,143,0.002,715,0.038000000000000006,0.036000000000000004
144,144,144,0.001,720,0.003,0.002
145,145,145,0.004,720,0.01,0.006
146,146,146,0.001,730,0.003,0.002
147,147,147,0.001,735,0.003,0.002
148,148,148,0.004,740,0.006,0.002
149,149,149,0.001,745,0.004,0.003
150,150,150,0.001,745,0.003,0.002
151,151,151,0.001,750,0.004,0.003
152,152,152,0.001,755,0.003,0.002
153,153,153,0.001,760,0.003,0.002
154,154,154,0.001,770,0.004,0.003
155,155,155,0.001,770,0.010000000000000002,0.009000000000000001
156,156,156,0.002,775,0.004,0.002
157,157,157,0.001,785,0.003,0.002
158,158,158,0.002,785,0.006,0.004
159,159,159,0.001,795,0.003,0.002
160,160,160,0.001,800,0.003,0.002
161,161,161,0.003,800,0.005,0.002
162,162,162,0.001,810,0.003,0.002
163,163,163,0.015,810,0.017,0.002
164,164,164,0.002,815,0.023,0.021
165,165,165,0.001,820,0.013000000000000001,0.012
166,166,166,0.004,825,0.006,0.002
167,167,167,0.001,830,0.011000000000000003,0.010000000000000002
168,168,168,0.001,840,0.003,0.002
169,169,169,0.001,845,0.004,0.003
170,170,170,0.006,850,0.024,0.018000000000000002
171,171,171,0.001,855,0.009000000000000001,0.008
172,172,172,0.001,855,0.003,0.002
173,173,173,0.001,865,0.003,0.002
174,174,174,0.001,865,0.003,0.002
175,175,175,0.001,870,0.004,0.003
176,176,176,0.001,880,0.003,0.002
177,177,177,0.001,880,0.003,0.002
178,178,178,0.001,885,0.030000000000000002,0.029
179,179,179,0.001,895,0.003,0.002
180,180,180,0.002,900,0.004,0.002
181,181,181,0.002,900,0.004,0.002
182,182,182,0.001,905,0.003,0.002
183,183,183,0.001,915,0.003,0.002
184,184,184,0.001,920,0.008,0.007
185,185,185,0.001,925,0.003,0.002
186,186,186,0.002,930,0.004,0.002
187,187,187,0.001,930,0.003,0.002
188,188,188,0.001,940,0.004,0.003
189,189,189,0.001,945,0.011000000000000003,0.010000000000000002
190,190,190,0.001,945,0.004,0.003
191,191,191,0.002,955,0.008,0.006
192,192,192,0.001,960,0.003,0.002
193,193,193,0.001,965,0.003,0.002
194,194,194,0.001,970,0.003,0.002
195,195,195,0.014,975,0.019,0.005
196,196,196,0.002,975,0.038000000000000006,0.036000000000000004
197,197,197,0.002,980,0.004,0.002
198,198,198,0.001,985,0.025,0.024
199,199,199,0.002,995,0.032,0.030000000000000002
200,200,200,0.001,995,0.008,0.007
201,201,201,0.001,1005,0.028000000000000004,0.027000000000000003
202,202,202,0.001,1010,0.003,0.002
203,203,203,0.001,1015,0.003,0.002
204,204,204,0.008,1020,0.013000000000000001,0.005
205,205,205,0.001,1020,0.003,0.002
206,206,206,0.001,1030,0.003,0.002
207,207,207,0.003,1030,0.005,0.002
208,208,208,0.001,1040,0.003,0.002
209,209,209,0.001,1045,0.003,0.002
210,210,210,0.001,1050,0.009000000000000001,0.008
211,211,211,0.002,1055,0.004,0.002
212,212,212,0.001,1055,0.012,0.011
213,213,213,0.008,1065,0.037,0.028999999999999998
214,214,214,0.013,1065,0.017,0.004
215,215,215,0.001,1075,0.003,0.002
216,216,216,0.016,1080,0.019,0.003
217,217,217,0.001,1080,0.007,0.006
218,218,218,0.001,1090,0.009000000000000001,0.008
219,219,219,0.001,1095,0.005,0.004
220,220,220,0.001,1095,0.003,0.002
